ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,
11.18028447,227.2314692,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103,4.370561937,
7.360640106,165.5207973,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566,3.662291783,
7.119824384,156.7049933,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.50077834,3.445756223,
6.347271761,186.7328807,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,
9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,
9.445129838,145.8054024,13168.52916,9.444471086,310.5833739,592.659021,8.606396747,77.57745951,3.875165247,
9.024845037,128.0966912,19859.67648,8.016422649,300.150377,451.143481,14.77086294,73.77802565,3.985250506,
6.80011909,242.0080815,39143.40333,9.501694588,187.1707144,376.4565931,11.43246635,73.77727503,3.8549399,
7.174135163,203.4089346,20401.10246,7.681806287,287.0856791,315.5499,14.53351004,74.40561603,3.939895657,
7.657991237,236.9608892,14245.78912,6.289064859,373.1653628,416.6241889,10.46423858,85.85276861,2.437296288,
8.322986672,207.2524622,28049.64628,8.827061283,297.8130845,358.7258688,18.70927337,60.91142039,4.052135728,
9.802720782,98.77164353,27357.45674,9.218150393,323.1990765,512.4287308,14.16893351,59.45443977,2.764633881,
6.101955231,215.2680896,15976.92623,8.857160044,308.4826954,417.8435527,13.1472795,62.50564153,3.53559633,
4.997770601,280.0824107,26849.19474,6.130756542,374.2329606,297.61154,15.57157096,70.56027461,3.404632906,
4.815766791,217.6870932,16392.13507,7.461170474,278.7422964,481.4808283,15.5172963,77.6933736,4.375223811,
